id,name,type,calories,protein,fat,carbs,fiber,ingredients,tags,combined_text
1,Abon,Sarapan,280.0,9.2,28.4,0.0,0.0,"['bahan utama', 'bumbu']","['tinggi lemak', 'rendah karbo']",bahan utama bumbu tinggi lemak rendah karbo
2,Abon haruwan,Makan Siang,513.0,23.7,37.0,21.3,1.1,"['bahan utama', 'bumbu']","['protein tinggi', 'tinggi lemak', 'tinggi kalori']",bahan utama bumbu protein tinggi tinggi lemak tinggi kalori
3,Agar-agar,Sarapan,0.0,0.0,0.2,0.0,0.0,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu rendah lemak rendah karbo rendah kalori
4,Akar tonjong segar,Sarapan,45.0,1.1,0.4,10.8,0.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
5,Aletoge segar,Sarapan,37.0,4.4,0.5,3.8,0.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu rendah lemak rendah karbo rendah kalori
6,Alpukat segar,Sarapan,85.0,0.9,6.5,7.7,0.5,['alpukat'],"['rendah karbo', 'rendah kalori']",alpukat rendah karbo rendah kalori
7,Ampas kacang hijau,Sarapan,96.0,3.7,0.6,19.1,1.9,"['bahan utama', 'bumbu']","['nabati', 'rendah lemak', 'rendah kalori']",bahan utama bumbu nabati rendah lemak rendah kalori
8,Ampas Tahu,Makan Siang,414.0,26.6,18.3,41.3,2.1,"['bahan utama', 'bumbu']","['nabati', 'protein tinggi', 'tinggi lemak', 'tinggi karbo', 'tinggi kalori']",bahan utama bumbu nabati protein tinggi tinggi lemak tinggi karbo tinggi kalori
9,Ampas tahu kukus,Sarapan,75.0,4.1,2.1,10.7,0.5,"['bahan utama', 'bumbu']","['kukus', 'nabati', 'rendah lemak', 'rendah kalori']",bahan utama bumbu kukus nabati rendah lemak rendah kalori
10,Ampas tahu mentah,Sarapan,67.0,5.0,2.1,8.1,0.5,"['bahan utama', 'bumbu']","['nabati', 'rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu nabati rendah lemak rendah karbo rendah kalori
11,Anak sapi daging gemuk segar,Sarapan,184.0,18.8,14.0,0.0,0.0,"['daging sapi', 'bumbu']","['daging', 'protein tinggi', 'rendah karbo', 'rendah kalori']",daging sapi bumbu daging protein tinggi rendah karbo rendah kalori
12,Anak sapi daging kurus segar,Sarapan,174.0,19.6,10.0,0.0,0.0,"['daging sapi', 'bumbu']","['daging', 'protein tinggi', 'rendah karbo', 'rendah kalori']",daging sapi bumbu daging protein tinggi rendah karbo rendah kalori
13,Anak sapi daging sedang segar,Sarapan,190.0,19.1,12.0,0.0,0.0,"['daging sapi', 'bumbu']","['daging', 'protein tinggi', 'rendah karbo', 'rendah kalori']",daging sapi bumbu daging protein tinggi rendah karbo rendah kalori
14,Andaliman segar,Sarapan,99.0,4.6,1.0,18.0,0.9,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
15,Andewi,Sarapan,25.0,1.6,0.2,5.3,0.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu rendah lemak rendah karbo rendah kalori
16,Anggur hutan segar,Sarapan,30.0,0.5,0.2,6.8,0.5,['anggur'],"['rendah lemak', 'rendah karbo', 'rendah kalori']",anggur rendah lemak rendah karbo rendah kalori
17,Angsa,Makan Siang,354.0,16.4,31.5,0.0,0.0,"['bumbu', 'angsa']","['protein tinggi', 'tinggi lemak', 'rendah karbo']",bumbu angsa protein tinggi tinggi lemak rendah karbo
18,Anyang sayur,Sarapan,126.0,3.4,7.9,10.3,1.0,['sayuran'],"['sayuran', 'rendah kalori']",sayuran sayuran rendah kalori
19,Apel,Sarapan,58.0,0.3,0.4,14.9,1.5,['apel'],"['rendah lemak', 'rendah kalori']",apel rendah lemak rendah kalori
20,Apel malang segar,Sarapan,57.0,0.5,0.4,12.8,1.3,['apel'],"['rendah lemak', 'rendah kalori']",apel rendah lemak rendah kalori
21,Arbei,Sarapan,37.0,0.8,0.5,8.3,0.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu rendah lemak rendah karbo rendah kalori
22,Ares sayur,Sarapan,113.0,0.9,7.2,11.2,1.1,['sayuran'],"['sayuran', 'rendah kalori']",sayuran sayuran rendah kalori
23,Arrowroot segar,Sarapan,102.0,1.0,0.2,24.1,1.2,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
24,Arwan sirsir,Sarapan,277.0,2.4,25.0,10.7,0.5,"['bahan utama', 'bumbu']",['tinggi lemak'],bahan utama bumbu tinggi lemak
25,Asam kandis segar,Sarapan,75.0,0.2,1.1,16.1,0.8,"['bahan utama', 'bumbu']","['asam', 'rendah lemak', 'rendah kalori']",bahan utama bumbu asam rendah lemak rendah kalori
26,Asam masak di pohon,Sarapan,239.0,2.8,0.6,62.5,3.1,"['bahan utama', 'bumbu']","['asam', 'rendah lemak', 'tinggi karbo']",bahan utama bumbu asam rendah lemak tinggi karbo
27,Asam payak segar,Sarapan,135.0,0.8,0.4,32.1,1.6,"['bahan utama', 'bumbu']","['asam', 'rendah lemak', 'tinggi karbo', 'rendah kalori']",bahan utama bumbu asam rendah lemak tinggi karbo rendah kalori
